Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
"Anbarasan, T.m.    ",DMK, 10 ,10th Pass,56," 6,93,78,972 "," 8,65,800 "
Balasubramanian V.r.,Kongunadu Makkal Desia Katchi,0,Graduate Professional,46," 2,58,31,367 "," 98,48,523 "
"Chandran, U.",DMDK,0,8th Pass,52," 16,90,53,589 "," 4,64,50,475 "
"Dhanachezhian, R.",Naam Tamilar Katchi, 1 ,12th Pass,39," 24,52,000 ", 0 
"Dr. Sathyanarayanan, S.",BJP, 1 ,Post Graduate,53," 17,49,05,424 "," 9,84,71,238 "
"Ramachandran, M.",IND,0,Literate,76," 70,268 ", 0 
"Ramachandran, S.",IND,0,8th Pass,34," 1,16,118 "," 33,000 "
"Ramachandran, V.",IND,0,8th Pass,47," 3,45,727 ", 0 
"Serma Selvaraj, R.",Desiya Makkal Sakthi Katchi,0,Post Graduate,45," 1,62,21,555 ", 0 
"Vinoth Kumar, R.",IND,0,Graduate Professional,32," 1,65,262 ", 0 
