Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Alexander V    ,AIADMK,0,Graduate Professional,44," 3,12,86,265 "," 58,74,859 "
Aassan Maulaana,INC, 1 ,Post Graduate,32," 18,21,73,901 "," 36,71,275 "
Anbuthennarasan R,Naam Tamilar Katchi,0,12th Pass,53," 21,98,400 ", 0 
Arumugam S,IND,0,5th Pass,49," 3,71,200 ", 0 
Balachandar M,Peoples Party of India(secular),0,10th Pass,38," 14,51,000 ", 0 
Balaji G,IND,0,8th Pass,38," 75,57,000 "," 36,70,000 "
Chinnadurai M,IND,0,Graduate Professional,39," 45,11,300 "," 3,00,000 "
Constandine Ravindran J,DMDK, 1 ,Post Graduate,48," 93,79,743 "," 22,75,881 "
Devarajan G,IND,0,Post Graduate,40," 48,59,200 "," 23,60,000 "
Ganesan N,IND,0,8th Pass,47," 7,82,500 ", 0 
Kanakaraj K,IND,0,5th Pass,48," 70,37,000 ", 0 
Prakash C,BSP,0,8th Pass,43," 1,00,000 ", 0 
Prakash R,IND,0,Graduate,49," 83,72,000 "," 20,00,000 "
Ramadass A S,IND,0,8th Pass,46," 16,50,000 ", 0 
Ranganathan K,Valamaana Tamizhagam Katchi,0,Graduate,36," 7,18,000 "," 2,50,000 "
Sekar K N,Pattali Makkal Katchi, 4 ,8th Pass,45," 7,78,41,520 "," 4,59,44,603 "
Simran Kalati,Youth And Students Party,0,Graduate,40," 26,18,000 ", 0 
Viswanathan R,IND,0,Post Graduate,60," 40,000 ", 0 
