Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Balasubramani .r    ,AIADMK,0,8th Pass,48," 2,54,66,247 "," 58,00,000 "
Ameen Basha,Pattali Makkal Katchi,0,10th Pass,54," 37,68,000 ", 0 
Dhaurman .v,Peoples Party of India(secular),0,8th Pass,74," 65,000 ", 0 
Gopinath D.,Vijaya Bharatha Makkal (People) Party,0,12th Pass,39," 8,26,500 "," 1,00,000 "
Kalai Kamaraj .n,Naam Tamilar Katchi,0,12th Pass,30," 2,30,000 ", 0 
Madar Khaleellur Rahman,Sunder Samaj Party,0,Graduate,51," 22,33,45,598 "," 15,19,103 "
Murali Mohan M.,SHS, 1 ,10th Pass,32," 34,85,000 ", 0 
Nazeer Ahmed V.r.,Manithaneya Makkal Katchi,0,Others,33," 6,77,560 "," 99,000 "
Sundar.n,BSP,0,12th Pass,59," 73,000 ", 0 
Syamala M.,Rashtriya Samaj Paksha,0,10th Pass,44," 1,01,000 ", 0 
Vasu .r,DMDK,0,10th Pass,37," 15,35,000 ", 0 
Venkatesan K.,BJP, 1 ,Post Graduate,48," 86,49,764 "," 25,08,764 "
