Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Nandakumar A P    ,DMK, 2 ,12th Pass,47," 25,53,25,869 "," 7,60,03,569 "
Elavazagan K L,Pattali Makkal Katchi,0,10th Pass,47," 60,22,532 ", 0 
Govinda Ammal A,Rashtriya Samaj Paksha,0,10th Pass,40," 7,50,000 ", 0 
Kalaiarasu M,AIADMK,0,Post Graduate,61," 11,80,33,554 "," 63,10,053 "
Karunanithi E,BSP,0,Graduate Professional,49," 12,00,000 ", 0 
Kattavarayan M,Ganasangam Party of India,0,8th Pass,46," 3,20,250 ", 0 
Palani P S,Tamil Maanila Congress (Moopanar),0,Graduate Professional,37," 42,73,789 "," 6,60,000 "
Pushparaj R,Peoples Party of India(secular),0,5th Pass,45," 25,000 ", 0 
Sivakumar T,SP,0,Graduate,33," 25,000 ", 0 
Sivaraj K,Naam Tamilar Katchi, 1 ,8th Pass,36," 7,100 ", 0 
Srinivasan R,Namadhu Makkal Katchi,0,10th Pass,49," 18,27,000 ", 0 
Sudhakar M,Vijaya Bharatha Makkal (People) Party,0,10th Pass,37," 3,10,500 ", 0 
Venkatesan P,Ulzaipali Makkal Katchy, 1 ,5th Pass,45," 34,90,000 "," 4,50,000 "
Vijayakumar K,BJP, 2 ,12th Pass,46," 2,15,00,000 ", 0 
