Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Mohan M.k.    ,DMK,0,8th Pass,63," 1,70,97,31,016 "," 4,11,72,776 "
Akhilesh A M,Pattali Makkal Katchi,0,Graduate Professional,27," 2,60,000 ", 0 
Amutha N,Naam Tamilar Katchi,0,Graduate,48," 8,29,657 "," 2,60,000 "
Babu D,IND,0,5th Pass,38," 16,000 ", 0 
Balaji S,IND,0,Illiterate,48," 41,000 ", 0 
Bhuvaneswaran M,IND,0,Others,30," 26,000 ", 0 
Kannan S,IND,0,Graduate Professional,36," 76,82,500 ", 0 
Kumaran P,Youth And Students Party,0,Others,42," 6,83,90,000 ", 0 
Mallika Dayalan,Marumalarchi Dravida Munnetra Kazhagam,0,12th Pass,59," 24,01,562 "," 7,94,642 "
Muthusamy M,IND,0,Graduate Professional,40," 7,59,500 ", 0 
Ravi Kumar S,IND,0,Graduate Professional,41," 15,16,790 "," 1,60,000 "
S.gokula Indira,AIADMK,0,Post Graduate,50," 8,93,64,496 "," 2,70,06,473 "
Saravanan R,IND,0,Post Graduate,50," 91,38,612 "," 47,71,634 "
Saravanaraja P,Valamaana Tamizhagam Katchi,0,Post Graduate,49," 9,26,31,062 "," 1,33,46,470 "
Sivasankaran R,IND,0,8th Pass,49," 2,70,000 ", 0 
Sofilet,LJP,0,10th Pass,37," 3,14,000 ", 0 
Suresh K,BJP,0,Graduate,36," 28,58,050 ", 0 
Thirunavukkarasu V,Makkalatchi Katchi,0,10th Pass,39," 4,79,296 "," 1,48,000 "
Timothy Moses,Christian Democratic Front,0,Post Graduate,43," 6,18,576 ", 0 
Varkees Tharuma Raj G,Tamilaga Sthabana Congress,0,Doctorate,64," 5,59,14,000 "," 2,30,000 "
Yogeswaran D,IND,0,Graduate,28," 5,25,120 ", 0 
