Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rajakrishnan.k.r    ,AIADMK,0,Post Graduate,47," 6,98,61,748 "," 1,23,31,495 "
Chandrakumar S,IND,0,8th Pass,40," 15,566 ", 0 
Gopal,Pattali Makkal Katchi,0,8th Pass,53," 45,09,000 ", 0 
Mahendran G,BSP,0,8th Pass,52," 12,66,000 "," 1,60,000 "
Manimekalai K,Naam Tamilar Katchi,0,12th Pass,27," 23,730 "," 26,500 "
Marappa Gounder S P,India Dravida Makkal Munnetra Katchi,0,10th Pass,51," 18,78,310 "," 48,765 "
Mayilduraian R,Tamilaga Makkal Munnetra Kazhagam,0,Others,36," 1,95,000 "," 1,01,000 "
Mohankumar P G,BJP,0,Graduate,45," 21,10,000 "," 4,20,000 "
Murugan R R,JD(U),0,Post Graduate,49," 18,22,000 ", 0 
Prabhu E,Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,32," 70,288 "," 90,000 "
Raja D,Kongunadu Makkal Desia Katchi, 1 ,10th Pass,39," 4,19,28,424 ", 0 
Raja Sampath M K,DMDK,0,12th Pass,51," 6,59,28,010 "," 21,70,528 "
Venkatachalam A G,DMK,0,10th Pass,55," 4,17,68,000 "," 70,62,615 "
