Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rathinasabhapathy E    ,AIADMK, 1 ,10th Pass,61," 1,12,90,000 "," 36,85,775 "
Abdul Jafaar S,IND,0,10th Pass,27," 1,56,000 ", 0 
Arul Justin Diraviam C,Tamilaga Makkal Munnetra Kazhagam,0,Graduate Professional,38," 2,13,000 ", 0 
Athmanathan P,IND,0,10th Pass,31," 4,12,000 ", 0 
Gemini Ganesan M,Indiya Jananayaka Katchi,0,10th Pass,58," 8,52,000 ", 0 
Kannaiya K,IND,0,Illiterate,70," 1,14,000 ", 0 
Kulam Mohamed M,SDPI,0,10th Pass,27," 1,56,000 ", 0 
Kuppusamy S,IND,0,5th Pass,50," 1,86,000 ", 0 
Loganathan P,CPI,0,Graduate Professional,40," 19,55,300 "," 3,28,000 "
Muthupalani P,IND,0,8th Pass,35," 5,02,000 ", 0 
Narasimhan H,IND,0,Graduate,55," 10,43,500 ", 0 
Ramachandran T,INC,0,Graduate Professional,35," 3,72,88,723 "," 30,64,197 "
Sakila Banu A,Naam Tamilar Katchi,0,Graduate,39," 8,40,000 ", 0 
Selvam K,Pattali Makkal Katchi,0,8th Pass,37," 1,03,55,000 ", 0 
Sethu Madhavan K,IND,0,Graduate,51," 1,41,564 ", 0 
Venugopal G,IND,0,5th Pass,54," 63,000 ", 0 
Xavier A,BSP,0,5th Pass,42," 1,00,000 ", 0 
