Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Baskaran .m,Pattali Makkal Katchi, 3 ,Others,43," 1,03,08,509 "," 6,87,655 "
Kalaiyarasan .g,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,44," 77,95,099 "," 11,87,011 "
Mariappan .m,Tamilaga Makkal Munnetra Kazhagam,0,Graduate Professional,36," 31,000 "," 68,000 "
Mohamed Mirza .r,SDPI,0,12th Pass,33," 9,74,321 ", 0 
Natarajan. R,Kongunadu Makkal Desia Katchi, 2 ,Graduate Professional,57," 30,54,29,442 "," 8,35,76,229 "
Noyyal M.ramasamy,IND,0,10th Pass,45," 49,45,159 "," 1,77,883 "
Pallanishamy .k.c,DMK, 2 ,5th Pass,81," 1,11,39,87,258 "," 14,08,49,467 "
Prabhu C.s,Indiya Jananayaka Katchi,0,Post Graduate,32," 6,87,100 ", 0 
Pukkarandi .v,BSP,0,Literate,54," 96,500 "," 35,000 "
Rajesh Kumar .p,Peoples Party of India(secular),0,10th Pass,29," 61,000 ", 0 
Senthilbalaji .v,AIADMK, 6 ,12th Pass,41," 2,49,87,280 "," 8,33,696 "
Subramani .v,Gokula Makkal Katchi,0,5th Pass,49," 2,10,500 ", 0 
