Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rajendran. S    ,AIADMK, 1 ,8th Pass,56," 51,02,984 "," 2,51,000 "
Baskar. C,Indiya Jananayaka Katchi,0,Graduate Professional,46," 7,46,15,911 "," 2,92,02,303 "
Jayavel. Rama,DMDK, 1 ,5th Pass,46," 1,42,40,225 "," 2,62,994 "
Krishna. K,IND,0,10th Pass,51," 26,072 ", 0 
Manikkam. T,Naam Tamilar Katchi,0,8th Pass,33," 3,82,872 "," 1,30,000 "
Matheshwaran. T,Vidiyalai Thedum Indhiyargal Party,0,Graduate,26," 11,000 "," 4,00,000 "
Padmanaban. R,IND,0,8th Pass,47," 48,235 ", 0 
Pazhanivel. P,IND,0,12th Pass,45," 14,16,758 "," 2,13,000 "
Sathyaseelan. A,LJP,0,Graduate,41," 24,95,552 "," 7,36,416 "
Savarianandham. V,BSP,0,Graduate,39," 10,10,000 ", 0 
Sivasankar. S.s,DMK, 7 ,Graduate Professional,47," 6,19,69,350 "," 21,18,802 "
Thirumavalavan. K,Pattali Makkal Katchi, 2 ,Graduate,53," 7,62,90,641 "," 86,92,969 "
Veeramani. T,IND, 1 ,Graduate Professional,26," 1,02,000 ", 0 
Vijayakumar. R,IND,0,12th Pass,39," 3,28,17,099 "," 62,72,577 "
