Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Periyasamy I    ,DMK, 8 ,Graduate,64," 5,67,16,678 "," 1,48,56,926 "
Arumugam K	,LJP,0,5th Pass,41," 1,75,000 ", 0 
Balamurugan A,BSP,0,12th Pass,26," 5,20,000 ", 0 
Ilanchezhian S.p,BJP, 3 ,12th Pass,46," 1,04,95,000 ", 0 
Karuppusamy P,IND,0,5th Pass,46," 12,51,239 ", 0 
Mariagunasekaran R,Naam Tamilar Katchi,0,8th Pass,48," 10,03,536 "," 36,465 "
Muruganantham C,IND,0,8th Pass,38," 45,92,591 "," 11,84,740 "
Natham R Viswanathan,AIADMK, 1 ,Graduate,67," 2,16,35,933 ", 0 
Nirmala Gnanasouwnthari,Pattali Makkal Katchi,0,Post Graduate,49," 33,31,000 ", 0 
Pakkiya Selvaraj M,DMDK,0,Graduate Professional,39," 82,43,600 "," 6,16,553 "
Paraman A,Tamilaga Makkal Munnetra Kazhagam,0,10th Pass,42," 21,29,500 ", 0 
Peyathevar A,AIFB,0,Illiterate,58," 1,03,34,104 "," 40,64,965 "
Selvakumar R,Kongunadu Makkal Desia Katchi,0,Post Graduate,42," 83,87,740 "," 6,62,000 "
Shanmugam V,IND,0,10th Pass,49," 2,75,000 ", 0 
Tamil Nesan R,Tamizhaga Vaazhvurimai Katchi,0,Graduate,42," 34,84,237 ", 0 
Viswanathan M,IND,0,12th Pass,39," 29,98,582 "," 3,75,419 "
