Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Pandia Rajan K    ,AIADMK,0,Post Graduate,56," 21,00,35,396 "," 5,07,67,247 "
Anandakrishnan N,Pattali Makkal Katchi,0,10th Pass,44," 4,06,20,000 ", 0 
Antharaiyan,IND,0,Illiterate,62," 71,000 ", 0 
Anthridoss R,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,57," 1,43,53,000 "," 11,40,000 "
Charles S,BSP,0,12th Pass,35," 8,50,000 ", 0 
Dharani K,IND,0,8th Pass,35," 6,56,925 ", 0 
Dinesh Kumar P,IND,0,Graduate Professional,34," 16,000 ", 0 
Durga Prasad G,IND,0,10th Pass,32," 3,07,23,200 ", 0 
Janova J,IND,0,10th Pass,33," 31,600 ", 0 
Loganathan J,BJP,0,Graduate,48," 48,62,000 "," 3,83,329 "
Nallathambi S,Naam Tamilar Katchi,0,Graduate,26," 10,64,000 "," 10,86,392 "
Nasar S M,DMK,0,10th Pass,56," 15,83,33,128 "," 11,37,466 "
Nazar S M A,IND,0,12th Pass,40," 27,41,949 ", 0 
Ponnusamy R,Vijaya Bharatha Makkal (People) Party,0,8th Pass,32," 25,30,400 ", 0 
Ramachandran J,IND,0,10th Pass,40," 3,56,500 "," 7,200 "
Rowoth Pasari,Samata Party,0,Post Graduate,0," 10,35,000 ", 0 
Sathya D,IND,0,5th Pass,41," 41,11,000 ", 0 
Selvanayagam D,IND,0,10th Pass,60," 15,25,000 ", 0 
