Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
V.rajendran    ,AIADMK,0,12th Pass,60," 92,47,376 "," 11,31,600 "
A.kumar,Pattali Makkal Katchi,0,Graduate,34," 10,64,21,839 "," 6,68,03,325 "
C.s.sardhar,Puratchikara Thozilalar Katchi,0,8th Pass,49," 26,90,850 ", 0 
G.k.muniraj,Ulzaipali Makkal Katchy,0,5th Pass,33," 2,98,463 ", 0 
Govinddarasan.e.c,DMK,0,8th Pass,46," 1,82,60,197 "," 1,05,940 "
K.thiruvenkadam,Kongunadu Makkal Desia Katchi, 1 ,5th Pass,36," 5,25,451 ", 0 
N.ananthi,NCP,0,10th Pass,36," 24,70,500 ", 0 
P.eswaran,Naam Tamilar Katchi,0,Graduate,35," 15,30,000 "," 3,28,000 "
R.manivannan,BJP,0,8th Pass,44," 10,78,500 ", 0 
R.thanigai,Youth And Students Party,0,12th Pass,34," 98,000 ", 0 
Ramesh.d,IND,0,12th Pass,35," 23,97,660 ", 0 
