Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Karuppanan K C    ,AIADMK,0,10th Pass,59," 13,76,60,972 "," 40,56,983 "
Alakuraj O P,India Dravida Makkal Munnetra Katchi,0,5th Pass,38," 32,10,000 ", 0 
Ammasai K,JD(U),0,12th Pass,40," 75,79,000 ", 0 
Baladhandapani V S,BSP,0,8th Pass,45," 67,700 ", 0 
Chandrasekar S,Kongunadu Makkal Desia Katchi,0,Graduate,42," 23,66,933 ", 0 
Dhasthakeer K R K,Vidiyalai Thedum Indhiyargal Party,0,10th Pass,33," 68,026 "," 1,57,885 "
Gopal P,DMDK,0,12th Pass,43," 74,94,469 "," 5,14,000 "
Kumar P,IND,0,12th Pass,37," 1,94,200 ", 0 
Ponnudurai P,India Makkal Munnetra Katchi,0,8th Pass,60," 27,19,080 ", 0 
Ramanathan K V,Pattali Makkal Katchi,0,10th Pass,53," 6,33,62,312 "," 12,50,000 "
Ramasamy S,Gandhiya Makkal Iyakkam,0,Graduate,30," 1,78,704 "," 2,00,000 "
Shithivinayagan K A,BJP,0,10th Pass,42," 76,78,650 "," 34,24,461 "
Sivakumar N,DMK,0,10th Pass,43," 30,94,69,376 "," 1,47,35,860 "
