Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Eswaran.s    ,AIADMK,0,Graduate,39," 4,63,425 ", 0 
Arumugam.s.r,BSP,0,10th Pass,67," 8,80,000 ", 0 
Mahalingam.k,JD(U),0,5th Pass,49," 2,95,500 ", 0 
Nagarajan.t,Kongunadu Makkal Desia Katchi,0,5th Pass,46," 2,73,500 ", 0 
Palaniswami.n.r,BJP,0,12th Pass,65," 42,86,000 "," 5,50,000 "
Sangeetha.g,Naam Tamilar Katchi,0,12th Pass,28," 1,69,000 ", 0 
Sathya.r,DMK,0,8th Pass,29," 12,42,885 ", 0 
Subban.p,India Dravida Makkal Munnetra Katchi,0,5th Pass,62," 4,45,000 ", 0 
Sundaram.p.l,CPI,0,8th Pass,46," 18,65,539 ", 0 
Vadivel.n.r,Pattali Makkal Katchi,0,Graduate,40," 12,37,846 "," 1,35,500 "
