Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Varalakshmi.m    ,DMK,0,Graduate,42," 29,85,77,955 "," 9,57,59,633 "
Ajay.s,BSP,0,Graduate,27," 14,00,000 ", 0 
Arumugam.k,Pattali Makkal Katchi, 4 ,Graduate,55," 9,97,01,240 "," 94,62,942 "
Jothi.g,IND,0,10th Pass,35," 52,40,642 ", 0 
Kamalakkannan.r,AIADMK,0,8th Pass,56," 1,71,38,861 "," 14,00,000 "
Murugesan.d,DMDK, 1 ,10th Pass,49," 2,68,30,000 ", 0 
Sanjeevinathan.k,Naam Tamilar Katchi,0,8th Pass,36," 2,19,56,500 "," 76,81,820 "
Sathish Kumar.g,SHS,0,5th Pass,31," 10,14,500 "," 5,39,443 "
Selvaraj.t,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,10th Pass,35," 16,34,718 "," 2,95,000 "
Venkatesan.e,IND,0,12th Pass,38," 10,95,227 ", 0 
Venkatesan.r,IND,0,10th Pass,59," 7,00,000 "," 1,20,000 "
