Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Giri .m.p    ,DMK,0,12th Pass,41," 61,54,375 "," 3,11,114 "
Anbalagan S.,Valimai Valartchi Indians Party,0,10th Pass,44," 3,45,440 ", 0 
Baskaran M.r.,BSP,0,10th Pass,51," 3,22,500 ", 0 
Dinagaran. M,AIADMK,0,Graduate Professional,51," 91,57,111 "," 2,90,800 "
Kalaiyarasi .a,DMDK,0,10th Pass,46," 80,80,638 "," 25,79,711 "
Karuppan V.,BJP,0,Illiterate,51,Nil, 0 
Krishnaveni P.,SP,0,10th Pass,42," 40,000 ", 0 
Murugan. C,Pattali Makkal Katchi,0,Graduate Professional,45," 63,14,400 ", 0 
Pandu M.,Gandhiya Makkal Iyakkam,0,10th Pass,59," 30,43,139 ", 0 
Vennila S.,Naam Tamilar Katchi,0,10th Pass,30," 10,12,500 ", 0 
