Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Pandiyan K A    ,AIADMK,0,Post Graduate,55," 1,95,67,509 "," 99,43,608 "
Abdul Satthar G,SDPI,0,5th Pass,44," 73,09,115 ", 0 
Arul R,Pattali Makkal Katchi,0,Post Graduate,43," 1,01,95,348 "," 4,46,876 "
Balakrishnan K,CPI(M), 4 ,Graduate,64," 45,47,620 ", 0 
Dhivakar S,IND,0,Graduate,29," 63,52,800 "," 7,25,000 "
Karvannan K,IND,0,Graduate,54," 18,38,409 ", 0 
Manimaran G,BJP,0,8th Pass,42," 28,83,443 "," 28,000 "
Sathishkumar B,Naam Tamilar Katchi,0,10th Pass,34," 3,62,000 ", 0 
Senthilkumar K R,DMK, 2 ,Graduate,42," 1,92,73,657 "," 13,00,000 "
Senthilkumar R,IND,0,Graduate,45," 1,85,000 "," 1,00,000 "
Thangapandian R,IND,0,12th Pass,26," 3,20,000 ", 0 
Thirunavukkarasu N,IND,0,10th Pass,48," 2,69,770 ", 0 
Vinoba C,IND,0,12th Pass,44,Nil, 0 
