Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
K.arjunan    ,AIADMK,0,10th Pass,58," 6,55,53,437 "," 50,96,007 "
A.abdul Salam,IND,0,Literate,46," 2,30,000 ", 0 
B.muthukumar,IND,0,5th Pass,25," 2,05,000 ", 0 
Benjamin Franklin,Naam Tamilar Katchi, 1 ,8th Pass,33," 5,75,000 ", 0 
D.thirumurugan,IND,0,10th Pass,37," 2,85,500 ", 0 
K.b.babu,NCP,0,Literate,63," 12,72,055 ", 0 
K.mohanraj,IND,0,8th Pass,48," 62,500 ", 0 
K.sheeba,BSP,0,10th Pass,38," 1,30,000 ", 0 
Mayura.s.jayakumar,INC,0,Post Graduate,42," 2,63,86,536 "," 1,69,72,414 "
N.duraisamy	,IND,0,5th Pass,58," 2,62,266 ", 0 
Padmanabhan,CPI(M), 2 ,10th Pass,57," 1,94,46,734 "," 3,00,000 "
Palanychamy,Pattali Makkal Katchi,0,Post Graduate,53," 1,17,22,300 "," 36,30,000 "
R.krishnakumar,SHS,0,8th Pass,48," 10,50,500 ", 0 
S.kumar,IND,0,Graduate Professional,39," 38,352 ", 0 
S.s.s.roshan,Welfare Party Of India,0,10th Pass,38," 90,000 "," 95,000 "
V.m.abuthahir,SDPI, 1 ,8th Pass,38," 19,55,400 ", 0 
Vadivel,Kongunadu Makkal Desia Katchi,0,8th Pass,43," 43,24,271 "," 2,32,000 "
Vanathi Srinivasan,BJP,0,Post Graduate,45," 6,48,01,853 "," 35,17,344 "
