Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sreenivasan C    ,AIADMK,0,Post Graduate,68," 6,91,74,636 "," 5,00,000 "
Arasur Manoharan S,BSP, 1 ,12th Pass,59," 2,40,000 ", 0 
Balaji C.k,SHS, 5 ,Post Graduate,46," 3,70,39,902 "," 2,70,000 "
Basheer Ahamaed M,DMK,0,10th Pass,60," 1,14,55,995 "," 1,31,495 "
Ganesan M.p,Naam Tamilar Katchi, 1 ,Graduate Professional,54," 78,79,840 ", 0 
Kumarappan R,IND,0,12th Pass,42," 2,86,000 ", 0 
Pandi N,CPI(M), 2 ,12th Pass,58," 39,84,968 "," 12,33,966 "
Parasuraman R,Pattali Makkal Katchi, 4 ,10th Pass,39," 1,50,56,884 "," 10,02,400 "
Philipdas A,Tamizhaga Vaazhvurimai Katchi,0,5th Pass,41," 16,01,769 "," 1,89,363 "
Srinivasan K,IND,0,10th Pass,56," 4,75,245 "," 90,199 "
Thirumalai Balaji T.a,BJP, 6 ,Graduate Professional,43," 57,40,812 "," 12,93,496 "
