Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Selvi J Jayalalithaa    ,AIADMK, 4 ,10th Pass,68," 1,13,73,38,586 "," 2,04,02,987 "
Abraham Rajamohan.r,Peoples Party of India(secular),0,Graduate,68," 1,09,100 ", 0 
Agnes F,Pattali Makkal Katchi,0,5th Pass,49," 8,44,000 ", 0 
Arunthathi Ramachandran,IND,0,Illiterate,41," 12,000 ", 0 
Arunthathi Vadivel Murugan,IND,0,Graduate Professional,33," 2,18,753 "," 2,68,000 "
Baskar P,IND,0,Graduate,34," 1,10,000 ", 0 
Baskaran N,IND,0,Graduate Professional,39," 2,95,000 ", 0 
Bhuvaneswari P,IND,0,12th Pass,28," 45,000 ", 0 
Chandrasekar K,IND,0,8th Pass,42," 1,99,000 ", 0 
Devi G,Naam Tamilar Katchi,0,12th Pass,38," 2,80,335 ", 0 
Duraivel V,IND,0,8th Pass,43," 40,000 ", 0 
Edinburough J,BSP,0,Graduate,37," 54,000 ", 0 
Gajendran P,IND,0,5th Pass,34," 31,000 ", 0 
Gopi M,IND,0,10th Pass,36," 2,34,115 ", 0 
Jagadishwarareddy K,IND, 1 ,12th Pass,54," 31,000 ", 0 
Jayalakshmi K,IND,0,8th Pass,36," 1,31,000 ", 0 
Kaveriselvam M,IND,0,Graduate Professional,28," 15,000 ", 0 
Manaoharan S,IND,0,Post Graduate,34," 3,38,045 ", 0 
Marimuthu P,IND,0,5th Pass,60," 39,08,400 "," 1,20,000 "
Meenachi Sundaram V,IND,0,Graduate,34," 14,384 ", 0 
Megavanan I,IND,0,Graduate,30," 24,27,000 "," 15,00,000 "
Michael Raj M.a,IND,0,8th Pass,47," 1,32,75,837 ", 0 
Murugan M.r.,Jebamani Janata,0,5th Pass,36,Nil, 0 
Nambirajan N,IND,0,Graduate,30," 60,000 ", 0 
Ponraj P,IND,0,5th Pass,45," 5,02,000 ", 0 
Prakash,IND,0,Literate,37," 2,12,000 ", 0 
Pravina G,IND,0,Graduate Professional,43," 1,48,50,000 ", 0 
Premkumar P,IND,0,5th Pass,27," 20,000 ", 0 
Raj L,IND,0,Graduate,41," 7,03,000 ", 0 
Raja M.n,BJP,0,Post Graduate,58," 9,51,43,739 "," 1,05,69,995 "
Raju R.s,IND,0,8th Pass,45," 1,72,000 ", 0 
Ramesh R,IND,0,10th Pass,28," 2,15,000 ", 0 
Ravi Parayanar.d,RPI(A),0,10th Pass,39," 68,000 ", 0 
Sadaiyandi.e,SUCI(C),0,5th Pass,53," 29,500 ", 0 
Sekar,IND,0,Others,43," 2,80,000 ", 0 
Selvarani,IND,0,Graduate,38," 2,03,30,000 "," 45,00,000 "
Shanmuganandham M,Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,29," 15,800 ", 0 
Shimla Muthuchozhan,DMK,0,Graduate Professional,34," 1,60,16,889 ", 0 
Subash Babu M,Anbu Udhayam Katchi,0,Post Graduate,41," 33,78,129 "," 2,85,000 "
Sureshkumar S,Makkalatchi Katchi,0,Graduate,33," 2,18,753 "," 2,68,000 "
Thangavel,IND,0,Graduate,42," 34,62,000 "," 17,30,000 "
Vasanthi Devi V,Viduthalai Chiruthaigal Katchi,0,Doctorate,77," 2,58,31,650 ", 0 
Venugopal D,SHS, 1 ,10th Pass,30," 54,000 ", 0 
Yuvaraj S,IND,0,Post Graduate,27," 12,000 ", 0 
