Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Edappadi K. Palaniswami    ,AIADMK,0,12th Pass,62," 7,80,66,586 "," 33,73,336 "
Annadurai N,Pattali Makkal Katchi, 7 ,Graduate Professional,47," 4,02,88,115 "," 57,91,472 "
Kumaresan. M,IND,0,Others,60," 1,05,30,262 "," 23,32,887 "
N.srinivasan,Kongunadu Makkal Desia Katchi,0,Illiterate,36," 9,10,000 "," 60,000 "
P.a.murugesan,DMK, 1 ,Graduate,54," 1,13,97,061 "," 33,44,956 "
Palanisamy. K,NCP,0,Illiterate,42," 31,11,200 ", 0 
R.kuppayee,IND,0,12th Pass,36," 4,00,000 ", 0 
Sedhupathi,IND,0,Post Graduate,28," 6,74,000 "," 5,00,000 "
Thangavel. P,CPI(M),0,Others,56," 13,15,399 "," 36,894 "
Thirumoorthy. K,JD(U),0,Graduate,45," 26,000 "," 48,000 "
