Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ravichandran K.s    ,DMK, 1 ,Graduate Professional,45," 2,62,30,597 "," 67,45,114 "
A.rajendran,Pattali Makkal Katchi,0,12th Pass,40," 18,29,710 "," 1,83,780 "
Arun Kumar A,IND,0,10th Pass,48," 27,000 ", 0 
Ashok A,SHS,0,5th Pass,56," 10,500 ", 0 
Balasundaram M,IND,0,Graduate Professional,79," 3,29,00,000 "," 5,00,000 "
Chandrakala J,Jan Shakti Dal,0,12th Pass,37," 1,86,000 ", 0 
Dhatchayani M,IND,0,12th Pass,41," 1,31,356 ", 0 
Ezhilarasan I,BSP,0,Graduate Professional,29," 50,000 ", 0 
Gunasekar N,IND, 1 ,8th Pass,26," 1,39,000 ", 0 
Jayalakshmi,Naam Tamilar Katchi,0,Graduate,29," 24,000 ", 0 
Jayaraj S,IND,0,12th Pass,29," 35,032 ", 0 
Kubendran S,Makkalatchi Katchi,0,10th Pass,32," 2,70,500 ", 0 
M.venkatesan,BJP,0,Post Graduate,36," 18,27,200 ", 0 
Mukunthan J,IND,0,Graduate Professional,27," 11,000 ", 0 
Nagarajan M,IND,0,12th Pass,40," 49,084 ", 0 
Parithi Ellamvazhuthi E,AIADMK,0,10th Pass,56," 6,70,19,319 "," 2,28,48,209 "
Prabhu T,DMDK, 1 ,10th Pass,35," 21,29,531 "," 8,79,902 "
Prasath S,IND,0,10th Pass,31," 26,000 ", 0 
Rajasekar S,IND,0,Graduate,26," 11,000 ", 0 
Selvam,IND,0,8th Pass,49," 56,000 ", 0 
Venkatachalam V,Youth And Students Party,0,Post Graduate,27," 35,000 ", 0 
