Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Thennarasu K S    ,AIADMK,0,5th Pass,65," 9,34,24,013 "," 16,48,352 "
Alaudeen A,Naam Tamilar Katchi,0,12th Pass,35," 3,58,925 ", 0 
Chandhirakumar V C,DMK, 3 ,10th Pass,49," 1,09,48,947 "," 3,00,000 "
Jaganathan S,Kongunadu Makkal Desia Katchi,0,Graduate,58," 4,04,13,953 "," 16,11,666 "
Kannan R,IND,0,5th Pass,48," 1,25,000 ", 0 
Krishnan P,BSP,0,8th Pass,53," 4,51,724 "," 1,00,000 "
Perumalraj R,Gandhiya Makkal Iyakkam, 1 ,10th Pass,40," 1,44,600 ", 0 
Ponchairman,DMDK,0,8th Pass,62," 1,73,22,430 ", 0 
Rajendran,Pattali Makkal Katchi, 1 ,8th Pass,55," 4,45,410 "," 65,304 "
Rajeshkumar Pon,BJP,0,Graduate Professional,44," 1,45,46,642 "," 18,86,420 "
Ramesh M,Samuga Makkal Katchi,0,10th Pass,39," 22,36,587 "," 2,00,000 "
Sadhik Basha K,SDPI, 1 ,8th Pass,31," 2,40,600 "," 17,488 "
Senthilkumar K,Ulzaipali Makkal Katchy,0,5th Pass,41," 1,60,000 ", 0 
