Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ramalingam K.v.    ,AIADMK,0,Graduate,59," 3,21,16,666 "," 12,35,450 "
Aravindan P,IND,0,Graduate,51," 5,09,632 "," 5,43,000 "
Arumugam,Pattali Makkal Katchi, 1 ,10th Pass,41," 1,19,39,381 "," 59,89,606 "
Easwara Murthy M,Kongunadu Makkal Desia Katchi,0,8th Pass,48," 52,22,886 "," 11,31,225 "
Murugan N,Marumalarchi Dravida Munnetra Kazhagam,0,8th Pass,57," 3,10,01,250 "," 14,31,128 "
Palanisamy N.p.,BJP,0,Post Graduate,56," 1,24,12,272 "," 19,65,817 "
Periyasamy P,Gandhiya Makkal Iyakkam,0,5th Pass,35," 11,22,800 "," 1,50,000 "
Thamotharan V,United Communist Party of India,0,Literate,49," 18,43,000 ", 0 
Veerappan C,BSP,0,8th Pass,44," 9,73,200 ", 0 
Velusamy P,India Dravida Makkal Munnetra Katchi,0,5th Pass,62," 13,75,000 ", 0 
Vengatesan A,IND,0,Others,39," 8,51,334 "," 8,63,000 "
