Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Elamathi.e,IND,0,12th Pass,41," 8,08,976 "," 5,60,737 "
Ganesan.a,Kongunadu Makkal Desia Katchi,0,Literate,50," 5,95,000 ", 0 
Kumar.v,Valamaana Tamizhagam Katchi,0,5th Pass,44," 4,61,000 ", 0 
Moorthy.r,IND,0,12th Pass,42," 4,28,844 "," 25,000 "
Muthulakshmi.p,SP,0,10th Pass,33," 4,17,551 "," 75,627 "
Rekha Priyadharshini.j,DMK,0,Post Graduate,33," 27,55,050 ", 0 
Senthilkumar.p,Naam Tamilar Katchi,0,Post Graduate,39," 42,500 "," 1,35,000 "
Shanmugavel Murty.a,Pattali Makkal Katchi,0,Graduate,41," 62,78,000 "," 12,34,000 "
Sivagami Paramasivam,BJP,0,Doctorate,72," 28,79,631 ", 0 
Suba.r,DMDK, 2 ,8th Pass,36," 78,05,163 "," 2,16,468 "
