Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Jayanthi Padmanabhan .c    ,AIADMK,0,Graduate Professional,35," 2,30,30,913 "," 69,15,000 "
Balasingam .s,IND,0,10th Pass,26," 4,52,666 ", 0 
Deepa .b,Pattali Makkal Katchi,0,8th Pass,26," 11,90,743 ", 0 
Ganesan .t,Indiya Jananayaka Katchi,0,Post Graduate,39," 20,55,000 "," 5,30,000 "
Lingamuthu .k,CPI,0,10th Pass,62," 87,50,000 ", 0 
Rajamarthandan .k,DMK,0,Post Graduate,37," 62,03,814 "," 4,75,000 "
"Rajkumar, S.",Naam Tamilar Katchi,0,12th Pass,28," 10,000 ", 0 
"Saravanan, S",Peoples Party of India(secular),0,10th Pass,34," 65,000 ", 0 
Shanmugam .m,BSP,0,Post Graduate,63," 12,90,000 ", 0 
Thangaraj .g,All Pensioners Party,0,10th Pass,68,Nil, 0 
Vadivelan .p,Vijaya Bharatha Makkal (People) Party,0,12th Pass,35," 8,26,000 ", 0 
