Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sekar Babu P K    ,DMK, 3 ,10th Pass,53," 1,85,62,737 "," 17,80,000 "
Abesar,Youth And Students Party,0,Graduate,35," 11,26,500 "," 45,000 "
Anwar Baig,Naam Tamilar Katchi,0,Others,52," 81,80,100 "," 3,98,117 "
Chandra Bommu K,IND,0,Others,28," 1,33,400 ", 0 
Jayaraj K,Peoples Party of India(secular),0,10th Pass,42," 20,000 ", 0 
Krishnakumar G,IND,0,Graduate,30," 1,51,800 ", 0 
Krishnakumar Nadhani,BJP,0,Post Graduate,39," 1,89,19,462 "," 15,96,457 "
Mageshkumar D,IND,0,8th Pass,37," 3,22,800 ", 0 
Mahendra Kumar J,IND,0,8th Pass,54," 5,68,000 ", 0 
Murad Buhari B,Marumalarchi Dravida Munnetra Kazhagam,0,12th Pass,49," 2,01,88,495 "," 6,49,524 "
Nandakumar D,IND,0,10th Pass,43," 2,69,400 ", 0 
Nathiya R,IND,0,Graduate Professional,29," 5,26,500 ", 0 
Nazeer Hussain S,BSP,0,12th Pass,39," 1,10,500 ", 0 
Nazim,IND,0,8th Pass,46," 13,46,807 ", 0 
Ramesh D,IND,0,Post Graduate,54," 8,89,000 ", 0 
Ravi M L,Desiya Makkal Sakthi Katchi,0,Graduate Professional,52," 16,93,233 "," 2,00,000 "
Sagayam G,Gandhiya Makkal Iyakkam,0,12th Pass,31," 69,000 "," 30,890 "
Sivachandran P,IND, 2 ,12th Pass,26," 1,03,533 "," 45,000 "
Sreenivasan K S,AIADMK,0,Graduate Professional,51," 1,53,47,815 "," 58,32,349 "
Srinivasan P,IND,0,Post Graduate,42," 2,24,400 ", 0 
Srinivasan R,IND,0,Graduate,30," 46,000 ", 0 
Sureshkumar R,Pattali Makkal Katchi,0,Graduate,41," 30,84,308 "," 12,37,574 "
Uvakumar P N,IND,0,12th Pass,43," 4,38,157 ", 0 
Venkatesan P,IND,0,Graduate Professional,46," 52,69,212 "," 16,61,200 "
