Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
R.murugan    ,AIADMK,0,Graduate,51," 1,42,06,001 "," 24,49,500 "
A.karthick,BSP,0,12th Pass,30," 45,500 ", 0 
K.govindhasamy,Viduthalai Chiruthaigal Katchi,0,Not Given,46," 17,05,68,682 "," 1,89,60,801 "
K.ramesh,Naam Tamilar Katchi,0,Graduate,31," 3,69,000 ", 0 
P.vediyappan,BJP, 1 ,5th Pass,61," 21,07,000 "," 1,14,000 "
R.govindhan,IND,0,5th Pass,48," 4,01,000 ", 0 
S.agila,IND,0,10th Pass,33," 85,000 ", 0 
S.kuamr,IND,0,10th Pass,45," 85,000 ", 0 
S.murali,Pattali Makkal Katchi,0,Graduate,26," 1,74,40,000 "," 17,00,000 "
S.rajendran,DMK,0,Post Graduate,56," 5,60,58,859 "," 47,14,865 "
