Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Balakrishna Reddy P    ,AIADMK, 1 ,12th Pass,47," 26,09,42,953 "," 98,56,836 "
Alex Esther,Naam Tamilar Katchi,0,Graduate Professional,30," 50,55,496 ", 0 
Balaraju N,IND,0,10th Pass,42," 24,65,000 ", 0 
Chan Basha M,BSP,0,8th Pass,50," 29,71,000 ", 0 
Chandran V,DMDK,0,8th Pass,52," 5,46,75,000 "," 34,50,000 "
Devappa Y,IND,0,10th Pass,50," 43,10,000 ", 0 
Gopinath K S/o G.kabali,IND,0,10th Pass,30," 3,32,505 ", 0 
Gopinath K S/o Krishnappa,IND,0,Others,29," 27,000 ", 0 
Jagadiswara Reddy,IND,0,12th Pass,54," 31,000 ", 0 
Manjunath V,IND,0,Graduate Professional,32," 8,60,000 "," 1,00,000 "
Pattabhirama C,IND,0,10th Pass,41," 25,63,000 ", 0 
Sekar P,Gandhiya Makkal Iyakkam,0,Others,44," 11,53,000 "," 4,50,000 "
Shanawaskhan N,SDPI,0,12th Pass,38," 86,650 "," 50,000 "
Sonappa Sm,United Communist Party of India,0,Post Graduate,35," 60,000 ", 0 
Veluchamy R,Kongunadu Makkal Desia Katchi,0,12th Pass,48," 19,60,000 "," 1,71,000 "
