Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ramajeyalingam.j.k.n    ,AIADMK,0,Graduate,63," 1,79,37,217 "," 10,61,121 "
Alangarmery.t,IND,0,10th Pass,33," 5,000 ", 0 
Chinnadurai.s,BSP,0,12th Pass,42," 3,10,500 ", 0 
Guru Alias Gurunathan.j,Pattali Makkal Katchi, 18 ,Post Graduate,55," 5,11,91,251 "," 48,22,490 "
Irulapoo.selvakumar,IND,0,10th Pass,46," 8,10,000 ", 0 
Kandasamy.m.s,Marumalarchi Dravida Munnetra Kazhagam,0,8th Pass,57," 5,33,70,041 "," 56,20,000 "
Karunagaran.g,IND, 1 ,10th Pass,54," 9,87,500 "," 87,000 "
Krishnamoorthy.r,Naam Tamilar Katchi,0,Illiterate,73," 20,43,000 ", 0 
Krishnamoorthy.s,BJP,0,10th Pass,55," 1,84,40,593 "," 96,100 "
Mahesh.c,IND,0,Graduate,35," 1,53,225 ", 0 
Rajendran.g,INC,0,12th Pass,60," 2,47,63,962 "," 1,63,09,597 "
Selvamani.p,IND,0,Graduate Professional,34," 2,50,000 ", 0 
Ulaganathan.n,NCP,0,Graduate Professional,61," 1,68,000 ", 0 
