Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ramasamy Kr    ,INC,0,10th Pass,64," 1,86,34,804 ", 0 
Arulanand A,Gandhiya Makkal Iyakkam,0,Illiterate,55," 7,36,650 ", 0 
Azhagappan Sp,IND,0,5th Pass,56," 7,84,173 ", 0 
Duraipandi P,Pattali Makkal Katchi, 5 ,5th Pass,28," 1,25,17,000 ", 0 
Karpagam Elango,AIADMK, 1 ,Post Graduate,55," 4,16,85,218 ", 0 
Muthulakshmi V,BJP,0,8th Pass,55," 46,76,405 "," 12,59,890 "
Parimalam S,Naam Tamilar Katchi,0,10th Pass,41," 11,74,294 ", 0 
Saravanan K,BSP, 1 ,8th Pass,34," 1,86,000 ", 0 
Sethu M,Makkal Manadu Katchi,0,12th Pass,70," 10,25,000 ", 0 
Sevanthiappan S,Marumalarchi Dravida Munnetra Kazhagam,0,Others,65," 57,85,298 "," 18,96,000 "
Tamil Karthick @ Karthick,IND,0,Graduate,30," 1,600 ", 0 
