Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Vijayabhaskar .m.r    ,AIADMK, 5 ,12th Pass,51," 3,66,86,526 "," 37,17,320 "
Boopathi .r,BSP,0,5th Pass,34," 40,500 ", 0 
Chakravarthy.s,IND,0,12th Pass,29," 3,22,719 "," 4,74,978 "
Imthiyaz Rizvi .n,Gandhiya Makkal Iyakkam,0,10th Pass,38," 5,80,822 "," 2,97,000 "
"Nanmaran,selva",Naam Tamilar Katchi, 1 ,Graduate Professional,33," 21,12,439 "," 73,000 "
Ravi .a,DMDK,0,10th Pass,51," 64,14,537 "," 2,57,000 "
Shanmugam .m,Kongunadu Makkal Desia Katchi, 2 ,12th Pass,53," 4,81,66,011 "," 80,00,000 "
Subramanian .k,INC,0,Graduate,63," 6,69,03,711 "," 28,74,893 "
Velusamy .s.m,Ganasangam Party of India,0,8th Pass,33," 6,39,298 ", 0 
Venkatachalam.p,IND,0,8th Pass,40," 22,80,000 ", 0 
