Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Duraimurugan    ,DMK, 4 ,Post Graduate,77," 29,78,80,701 ", 0 
Appu S.r.k,AIADMK,0,Graduate,39," 1,82,84,866 "," 6,51,672 "
Murugan N,Indiya Jananayaka Katchi,0,Post Graduate,40," 6,20,000 ", 0 
Palani R,IND,0,Illiterate,40," 2,60,104 ", 0 
Puviarasan L.,Naam Tamilar Katchi,0,12th Pass,26," 30,000 ", 0 
Sankar Ganesh K,Peoples Party of India(secular),0,Others,43," 75,000 ", 0 
Saravanan M,IND,0,10th Pass,32," 8,90,550 ", 0 
Shanmugam K L,SP,0,10th Pass,53," 25,44,000 "," 2,00,000 "
Shanmugam N T,Pattali Makkal Katchi,0,Graduate Professional,68," 1,35,51,300 "," 22,60,126 "
Sivanandam T.v,Tamil Maanila Congress (Moopanar), 1 ,12th Pass,61," 2,64,30,730 "," 19,82,330 "
