Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Murugumaran.n    ,AIADMK,0,Graduate Professional,44," 1,09,86,358 ", 0 
Anbalagan.k,IND,0,Others,60," 69,95,000 "," 21,70,000 "
Jayasri.e,Naam Tamilar Katchi,0,12th Pass,27," 3,40,000 ", 0 
Kalaivanan.s,BSP,0,Graduate,27," 10,00,000 ", 0 
Manirathinem.k.i,INC, 2 ,Doctorate,58," 6,25,31,195 ", 0 
Ravichandran.r,IND,0,Others,29," 41,000 ", 0 
Saravanan.s.p,BJP,0,Post Graduate,59," 71,04,204 "," 4,00,000 "
Sozhan.a,Pattali Makkal Katchi,0,Graduate Professional,31," 19,81,386 "," 17,27,823 "
Thirumavalavan.t,IND,0,10th Pass,40," 11,000 ", 0 
Thol.thirumaavalavan,Viduthalai Chiruthaigal Katchi, 2 ,Post Graduate,53," 73,51,740 "," 6,63,489 "
