Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rajesh Kumar S    ,INC, 6 ,Post Graduate,41," 1,64,74,607 "," 19,14,536 "
Alexander J,Pattali Makkal Katchi, 2 ,5th Pass,45," 45,87,700 "," 24,00,000 "
Dhanapaul P,CPI(ML) Red Star,0,Post Graduate,54," 7,99,000 ", 0 
Henry J,IND,0,Post Graduate,63," 20,67,558 "," 36,000 "
Kumaradas D,Tamil Maanila Congress (Moopanar),0,Graduate,63," 1,95,46,640 ", 0 
Mary Kamalabai A,AIADMK,0,10th Pass,62," 39,61,650 "," 6,23,000 "
Pal Raj M,IND,0,Post Graduate,49," 43,40,488 "," 5,17,000 "
Pon. Vijayaragavan,BJP,0,Post Graduate,65," 86,26,229 "," 62,000 "
Rajesh M,IND,0,Graduate,27," 4,82,000 "," 45,000 "
Rethnammal T,Naam Tamilar Katchi,0,5th Pass,48," 3,36,558 ", 0 
Sunil Babu K,IND,0,Graduate,41," 28,51,178 "," 9,75,000 "
Thankamony C,Indian Christian Front,0,Post Graduate,57," 51,77,000 "," 10,000 "
Vathana Nisha J,IND,0,12th Pass,36," 62,71,123 "," 14,00,000 "
