Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
M.k.stalin    ,DMK, 6 ,12th Pass,63," 5,84,02,961 ", 0 
A.devakumaran,IND,0,Graduate Professional,34," 2,92,013 ", 0 
A.stalinkumar,IND,0,10th Pass,38," 1,60,200 ", 0 
C.velan,BSP,0,8th Pass,40," 2,58,000 ", 0 
G. Sathyanarayanan,Youth And Students Party,0,8th Pass,33," 16,02,000 ", 0 
G.ragavanayagam,IND,0,Post Graduate,42," 7,83,500 ", 0 
J.c.d.prabhakar,AIADMK,0,Graduate Professional,64," 25,50,86,330 "," 3,30,00,000 "
J.subbiah,IND,0,Graduate Professional,43," 12,57,777 ", 0 
K.t.raghavan,BJP,0,Graduate Professional,45," 1,24,80,533 "," 3,11,136 "
M. P. Charavanan,IND,0,Graduate,55," 40,26,516 ", 0 
M. Shajini,IND,0,Post Graduate,26," 2,55,000 ", 0 
M.murali Vinodh,IND,0,Graduate Professional,33," 5,47,000 ", 0 
M.vasantha Kumar,Vijaya Bharatha Makkal (People) Party, 2 ,5th Pass,37," 89,16,000 ", 0 
P.mathivanan,DMDK, 1 ,Post Graduate,33," 71,31,294 "," 18,32,550 "
R.sivashankar,IND,0,Graduate Professional,34," 12,10,250 ", 0 
S.ashok Kumar,Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,37," 1,04,965 "," 12,000 "
S.gopal,Pattali Makkal Katchi, 1 ,10th Pass,46," 84,07,266 "," 6,03,750 "
S.xavier Felix,Naam Tamilar Katchi,0,Graduate Professional,58," 90,75,000 "," 27,00,000 "
Seetha Mallar,IND,0,12th Pass,43," 22,59,500 ", 0 
V. Vijayakumari,RPI(A),0,Graduate,40," 2,35,000 ", 0 
