Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Senguttuvan.t    ,DMK, 1 ,10th Pass,63," 2,47,37,676 "," 18,58,272 "
Arunkowtham,Indiya Jananayaka Katchi,0,Post Graduate,44," 1,41,82,617 "," 18,62,100 "
Chandramohan.k.m,NCP, 1 ,10th Pass,46," 80,400 ", 0 
Govindaraj,AIADMK, 1 ,10th Pass,56," 6,78,18,165 "," 75,00,000 "
Kumar.s,Pattali Makkal Katchi, 1 ,12th Pass,42," 2,12,77,458 "," 48,65,609 "
Latha.g,IND,0,12th Pass,52," 77,25,000 ", 0 
Mubarak.b,All India Majlis-E-Ittehadul Muslimeen, 2 ,5th Pass,39," 13,000 ", 0 
Pandian @ Pandia Prabhu.p,IND,0,Post Graduate,32," 11,60,000 ", 0 
Ponn.parthiban,Naam Tamilar Katchi,0,10th Pass,27," 9,25,000 "," 2,60,000 "
Sankar.k,Ulzaipali Makkal Katchy,0,Graduate Professional,42," 22,25,531 "," 5,98,000 "
Sigamani.k.n,Puratchikara Thozilalar Katchi,0,5th Pass,51," 39,70,704 "," 3,00,000 "
Vajravel.g,Kongunadu Makkal Desia Katchi,0,Graduate Professional,36," 7,85,000 "," 30,000 "
Venkatesh.k.c,United Communist Party of India,0,10th Pass,41," 5,45,000 ", 0 
