Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
P.thangamani    ,AIADMK, 1 ,10th Pass,56," 1,63,36,008 ", 0 
Arunkumar G,Naam Tamilar Katchi, 1 ,Others,27," 51,83,446 "," 24,50,000 "
Easwaran K,BJP,0,Others,37," 25,44,512 "," 4,35,549 "
Govindaraj A,CPI(ML)(L),0,Literate,55," 4,00,000 ", 0 
Kanchana N,IND,0,5th Pass,35," 5,95,000 ", 0 
Madeshwaran P A,DMDK, 2 ,8th Pass,44," 5,36,39,335 "," 1,10,00,000 "
Murthy S,Pattali Makkal Katchi,0,8th Pass,41," 50,25,000 ", 0 
Ponnusamy R,Kongunadu Makkal Desia Katchi,0,10th Pass,62," 36,31,500 ", 0 
Saravanan C,IND,0,5th Pass,38," 2,77,522 ", 0 
Selvaraj P,IND,0,8th Pass,55," 17,26,627 "," 7,35,954 "
Yuvaraj P,DMK,0,Post Graduate,41," 3,64,01,499 ", 0 
