Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
G.anbalagan    ,DMK, 1 ,10th Pass,67," 20,02,83,824 "," 3,10,46,772 "
Arokkiya Raj V.,Thamizhaga Vaazhvurimai Katchi, 1 ,Illiterate,31," 1,70,000 ", 0 
K.venkatraman,Pattali Makkal Katchi, 2 ,12th Pass,42," 2,53,13,840 "," 96,31,321 "
Kalavathy T.,BSP,0,Post Graduate,40," 1,15,046 ", 0 
Kamaraj P,Tamilaga Makkal Munnetra Kazhagam,0,Graduate Professional,41," 10,750 ", 0 
Mani Senthil,Naam Tamilar Katchi,0,Graduate Professional,39," 3,23,428 ", 0 
Paramasivam.d,DMDK, 4 ,8th Pass,46," 4,56,58,570 "," 39,00,000 "
Pl. Annamalai,BJP,0,8th Pass,51," 35,43,784 "," 6,00,000 "
Ramkumar S.,Makkal Sananayaga Kudiyarasu Katchi, 1 ,12th Pass,30," 5,000 ", 0 
Rathna.s,AIADMK,0,10th Pass,53," 14,19,53,488 "," 8,26,28,153 "
