Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
R.t.ramachandran    ,AIADMK,0,8th Pass,43," 1,51,38,297 "," 26,03,637 "
Arul,Naam Tamilar Katchi, 3 ,Graduate Professional,35," 62,13,000 "," 12,15,655 "
Durairaj T,DMK,0,Graduate Professional,55," 3,66,96,414 "," 6,33,299 "
J.mohamed Shanavas,Viduthalai Chiruthaigal Katchi, 1 ,12th Pass,34," 20,32,307 ", 0 
Ragupathi A.v.r,Indiya Jananayaka Katchi,0,Post Graduate,33," 1,08,10,549 "," 19,29,654 "
Rajendran K,BSP,0,12th Pass,51," 4,15,000 ", 0 
Senthil Kumar M,IND,0,10th Pass,36," 7,72,770 "," 3,00,000 "
Senthilkumar P,IND,0,Graduate,41," 42,148 ", 0 
Srinivasan .v.p,LJP,0,5th Pass,53," 15,20,000 ", 0 
Vaithilingam G,Pattali Makkal Katchi, 1 ,12th Pass,42," 1,53,63,626 "," 50,60,637 "
