Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Panneerselvam Mrk    ,DMK, 2 ,Graduate Professional,58," 9,15,96,448 "," 1,03,07,427 "
Ashokkumar S,IND, 2 ,12th Pass,35," 51,080 ", 0 
Balamurugan Kms,DMDK, 1 ,10th Pass,41," 47,77,365 "," 12,15,000 "
Girija S,IND,0,Post Graduate,33," 2,59,000 ", 0 
Govindaraj P,IND,0,8th Pass,42," 1,04,29,000 ", 0 
Jaladeepan V,Naam Tamilar Katchi, 1 ,10th Pass,35," 28,39,900 "," 1,30,500 "
Muthukrishnan S,Pattali Makkal Katchi, 3 ,Graduate Professional,33," 1,50,24,939 "," 49,98,584 "
Rajendran R,AIADMK,0,12th Pass,55," 11,86,53,072 "," 7,50,000 "
Senthilmurugan S,BSP,0,Graduate Professional,43," 4,35,000 ", 0 
Shakthi Ganapathy Mu,BJP,0,Others,64," 3,11,31,080 ", 0 
