Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Soundarapandian    ,DMK, 1 ,12th Pass,51," 1,38,55,876 "," 26,76,000 "
Citrarasu B,AIFB,0,Graduate,49," 1,18,82,000 "," 15,10,000 "
Jayachandran S,IND,0,8th Pass,40," 28,000 ", 0 
Jayaseelan M,CPI(M),0,Post Graduate,49," 3,75,897 "," 23,000 "
Karthik S,SHS,0,10th Pass,27," 80,30,094 "," 30,00,000 "
Lawrence S,Gandhiya Makkal Iyakkam,0,10th Pass,60," 27,40,000 "," 2,40,000 "
Sampath P,Naam Tamilar Katchi,0,12th Pass,35," 85,500 ", 0 
Selvakumar K,Indiya Jananayaka Katchi,0,Post Graduate,46," 29,25,453 "," 50,000 "
Soundarapandian D,IND,0,5th Pass,27," 64,000 ", 0 
Umamaheswaran,Pattali Makkal Katchi,0,5th Pass,51," 10,76,000 "," 43,410 "
Vijayamoorthy,AIADMK,0,Graduate,59," 5,53,21,076 "," 77,25,422 "
