Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Palanivel Thiyagarajan    ,DMK,0,Doctorate,50," 34,42,59,084 ", 0 
Jafar Sulthan Ibrahim M,SDPI,0,10th Pass,42," 20,46,550 ", 0 
K.m.muthuraja,IND,0,8th Pass,43," 2,20,000 ", 0 
Karthik Prabu M,BJP,0,Graduate,42," 3,99,13,500 "," 1,40,00,000 "
M.jeyapal,AIADMK,0,Post Graduate,56," 2,55,65,707 "," 13,75,816 "
R.balasubiramanian,IND,0,8th Pass,52," 3,59,000 ", 0 
Selvam T,Pattali Makkal Katchi,0,Graduate Professional,51," 37,23,190 ", 0 
Sivamuthukumar.d,DMDK, 7 ,Post Graduate,45," 1,13,56,206 "," 48,06,466 "
Soundaram G T,LJP,0,Graduate,55," 1,22,06,000 "," 13,00,000 "
Sudhakar R,AIFB,0,5th Pass,36," 20,03,010 "," 1,77,900 "
Thavamani A,BSP,0,5th Pass,51," 2,54,000 ", 0 
