Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sellur K. Raju    ,AIADMK,0,Graduate,63," 1,18,99,416 "," 10,15,993 "
Eswaran S,Gandhiya Makkal Iyakkam,0,8th Pass,57," 4,34,635 ", 0 
Jega Veeran S,IND,0,10th Pass,50," 1,67,800 "," 46,000 "
Krishna Kumar R,Pattali Makkal Katchi, 10 ,Graduate,41," 7,94,500 ", 0 
Manikandan.n,AIFB, 1 ,Others,32," 18,61,000 ", 0 
Meenakshi.v.c.,Samuga makkal katchi,0,Post Graduate,49," 2,52,650 "," 13,70,500 "
Murugan.s,Makkal Manadu Katchi,0,8th Pass,31," 1,02,250 ", 0 
Pandi.a,SHS, 3 ,8th Pass,46," 84,42,000 "," 13,00,000 "
Sasikumar A,BJP,0,8th Pass,43," 14,26,000 ", 0 
Thalapathy G,DMK, 10 ,10th Pass,60," 13,79,28,036 ", 0 
Thirunavukkarasu V,Naam Tamilar Katchi,0,Others,34," 34,23,720 "," 8,43,000 "
Thirupathi A,IND,0,8th Pass,48," 3,06,731 "," 1,41,000 "
Vasuki,CPI(M),0,Graduate,59," 2,19,06,466 "," 42,70,441 "
