Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Periyapullan @ Selvam P    ,AIADMK,0,Graduate,44," 68,72,218 "," 4,35,000 "
Anitha R.,Gandhiyan Peoples Party,0,Others,38," 65,30,000 "," 13,16,000 "
Bharath Nachiappan T.n.,Tamil Maanila Congress (Moopanar), 2 ,Post Graduate,40," 43,08,000 "," 75,000 "
Boopathikakkan,BJP,0,12th Pass,52," 18,57,000 "," 1,28,000 "
Ragupthy A.p,DMK,0,5th Pass,57," 2,82,66,794 ", 0 
Rishi Kapoor S.,SDPI,0,8th Pass,35," 10,04,673 "," 60,000 "
Seeman I.t.,Naam Tamilar Katchi,0,Post Graduate,36," 38,84,689 "," 1,00,000 "
V.jothi,IND,0,8th Pass,40," 1,60,000 ", 0 
V.manoharan,IND,0,5th Pass,57," 70,60,301 "," 1,80,000 "
Veeranan E.,RJD,0,8th Pass,44," 2,66,500 "," 1,50,000 "
