Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Chinnaraj.o.k    ,AIADMK,0,12th Pass,62," 63,21,254 ", 0 
Abdul Vahab. A,Naam Tamilar Katchi, 1 ,10th Pass,39," 4,66,000 "," 15,000 "
Dharmaraj M.,IND,0,12th Pass,46," 3,00,000 ", 0 
Ganeshkumar. E,IND,0,Others,32," 1,11,000 ", 0 
Jaganathan. P.,BJP,0,10th Pass,45," 23,70,000 "," 2,00,000 "
K.vellingiri,Kongunadu Makkal Desia Katchi,0,5th Pass,54," 23,28,905 ", 0 
Moorthi. K,Pattali Makkal Katchi, 2 ,8th Pass,46," 1,00,44,907 "," 7,24,673 "
Natarajan.p,CPI(ML)(L),0,Others,42," 30,97,909 ", 0 
Shanmuga Sundaram.t.r,Tamil Maanila Congress (Moopanar),0,5th Pass,54," 8,16,69,058 "," 84,00,000 "
Surendran. S.,DMK,0,12th Pass,45," 3,34,54,701 "," 58,23,999 "
Venkatesh. K,IND,0,10th Pass,45," 33,30,000 ", 0 
