Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
S.semmalai    ,AIADMK,0,Graduate Professional,70," 9,47,62,184 "," 26,74,066 "
Dr.k.padmarajan,IND,0,Post Graduate,55," 15,15,900 "," 48,000 "
G K Mani,Pattali Makkal Katchi, 5 ,10th Pass,66," 48,96,897 ", 0 
Gopalan.m,NCP,0,10th Pass,58," 26,74,740 "," 1,50,000 "
K.paranthaman,IND,0,12th Pass,46," 3,80,000 ", 0 
Karunakaran M.v,Ganasangam Party of India,0,Graduate Professional,74," 48,41,927 "," 4,43,855 "
Mathayan.c,BSP,0,8th Pass,36," 1,76,000 ", 0 
N.nanthakumar	,IND,0,8th Pass,38," 10,62,910 "," 1,54,000 "
Nanga Gounder.d,IND,0,10th Pass,60," 1,94,000 ", 0 
P.balasubramanian,BJP,0,Post Graduate,39," 32,72,632 "," 1,71,386 "
Parthiban.i,IND,0,10th Pass,39," 16,78,253 ", 0 
R.boopathy,DMDK,0,10th Pass,51," 67,29,500 "," 14,57,617 "
Rajagounder A,Kongunadu Makkal Desia Katchi,0,Illiterate,61," 52,01,169 "," 75,000 "
Sevanthi.v,Gandhiya Makkal Iyakkam,0,Post Graduate,34," 2,88,000 "," 65,000 "
Venkatachalam.n,Naam Tamilar Katchi, 1 ,Others,44," 49,75,500 "," 3,00,000 "
