Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Nataraj R    ,AIADMK,0,Doctorate,65," 9,25,38,499 "," 73,36,106 "
Anand N,IND,0,10th Pass,46," 7,75,500 "," 1,65,000 "
Arunraj Balan,IND,0,Graduate Professional,26," 1,92,000 ", 0 
Balaji V,BSP,0,12th Pass,36," 2,50,500 ", 0 
Balakrishnan,IND,0,Graduate,58," 6,60,600 ", 0 
Dhananjayan T.s,IND,0,8th Pass,45," 76,116 ", 0 
Govindarajulu.m.,Youth And Students Party,0,Post Graduate,76," 7,90,026 ", 0 
Jebamani E,Peoples Party of India(secular),0,Post Graduate,65," 1,22,000 ", 0 
Joshua Gerard,IND,0,Graduate Professional,27," 10,61,647 ", 0 
K.r.ramaswamzy,IND,0,Others,82," 42,700 ", 0 
Karate R.thiagarajan,INC,0,12th Pass,51," 31,23,01,962 "," 30,18,085 "
Kuppal G.devadoss,IND,0,10th Pass,61," 1,57,31,500 "," 66,00,000 "
Loganathan,IND,0,Graduate Professional,63," 4,20,21,000 "," 32,96,000 "
Mohanraj J,Jebamani Janata,0,Graduate,64," 1,83,30,000 "," 3,00,000 "
Munavar Basha A.s,Tamil Maanila Congress (Moopanar),0,Graduate,62," 20,50,500 ", 0 
Nagarajan K,BJP,0,12th Pass,56," 52,32,078 "," 97,146 "
Sathyaa Durrairajh,IND,0,Post Graduate,30," 89,608 ", 0 
Sathyanarayanan .s.,IND,0,Graduate Professional,44," 3,12,85,824 "," 63,22,828 "
Shanmuga Rajan,IND,0,10th Pass,65," 2,56,63,480 "," 15,02,000 "
Sheela S,IND,0,8th Pass,46," 1,60,400 "," 4,50,000 "
Sivakumar,IND,0,12th Pass,38," 4,50,500 ", 0 
Sudhakar.s.,Naam Tamilar Katchi,0,Graduate,36," 14,63,949 "," 22,672 "
Suresh Kumar N,Pattali Makkal Katchi,0,Graduate Professional,29," 11,97,866 ", 0 
V.vijayakrishna,SHS,0,Post Graduate,38," 1,22,031 "," 4,48,950 "
