Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Thamimun Ansari    ,AIADMK,0,Graduate,40," 24,23,277 ", 0 
Balraj.a,Pattali Makkal Katchi,0,8th Pass,39," 27,57,000 "," 3,02,700 "
Dr.sundaravadivelan.t,SHS,0,Doctorate,39," 1,00,94,500 "," 26,50,000 "
Durai.v,Makkalatchi Katchi,0,Others,39," 3,09,000 ", 0 
Kesavaraj.a,Tamilaga Makkal Munnetra Kazhagam,0,10th Pass,36," 10,40,800 ", 0 
Mahendran.r,AIFB,0,10th Pass,37," 1,99,498 ", 0 
Mohamed Jafarullah.a,Manithaneya Makkal Katchi,0,10th Pass,45," 6,17,212 ", 0 
Nethaji,BJP,0,10th Pass,41," 24,43,852 "," 7,18,907 "
Niraintha Selvam.t,Naam Tamilar Katchi,0,Others,45," 7,80,943 "," 7,28,500 "
Panneerselvam.r,BSP,0,5th Pass,54," 10,000 ", 0 
