Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Suresh Rajan N    ,DMK, 6 ,Post Graduate,53," 2,36,30,356 "," 26,55,536 "
Andruz. A,BSP,0,Others,37," 6,97,000 ", 0 
Christin Rani S,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,61," 99,00,000 ", 0 
Dhanam P.m,Naam Tamilar Katchi,0,Graduate,29," 30,96,500 "," 2,31,663 "
Gandhi L,IND,0,10th Pass,50," 3,55,668 ", 0 
Gandhi M.r,BJP,0,12th Pass,69," 62,95,341 ", 0 
George M,Pattali Makkal Katchi,0,10th Pass,39," 12,00,000 "," 4,50,000 "
Jackson M.s,Democratic Corruption Liberation Front,0,Graduate Professional,41," 13,75,000 "," 7,97,000 "
Kannan. M,CPI(ML) Red Star,0,10th Pass,30," 1,22,94,000 ", 0 
Kathiresan. R,Gandhiya Makkal Iyakkam,0,8th Pass,63," 19,31,908 "," 5,20,954 "
Murugesan T,IND,0,5th Pass,44," 13,53,500 "," 80,000 "
Nanjil Murugesan. A,AIADMK,0,5th Pass,50," 1,75,14,379 ", 0 
Rajesh S.m,IND,0,10th Pass,34," 25,35,444 "," 7,00,000 "
Subi,The Future India Party,0,Post Graduate,25," 1,15,561 ", 0 
Suresh. S,Thamizhaga Vaazhvurimai Katchi,0,10th Pass,44," 10,65,000 ", 0 
