Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Baskar. K.p.p    ,AIADMK, 2 ,12th Pass,46," 2,65,53,527 "," 39,42,723 "
Chezhian. R,INC,0,Post Graduate,70," 8,82,02,082 "," 36,30,676 "
Chezhian. S,IND,0,Post Graduate,46," 15,44,670 ", 0 
Duraisamy E,Pattali Makkal Katchi,0,12th Pass,53," 84,78,600 "," 19,06,171 "
Kannaiyan R,IND,0,8th Pass,61," 41,74,045 ", 0 
Loganathan M,Naam Tamilar Katchi,0,Graduate Professional,32," 31,71,651 ", 0 
Matheswaran S,Kongunadu Makkal Desia Katchi, 3 ,10th Pass,44," 1,46,88,530 "," 1,44,87,011 "
Murugan. C,IND,0,10th Pass,42," 2,28,662 ", 0 
Muthusamy. M.p,Ganasangam Party of India,0,Post Graduate,59," 1,01,03,407 "," 33,94,040 "
Natarajan .m,IND,0,8th Pass,49," 1,64,55,000 "," 36,87,270 "
Palanisamy K,IND,0,Graduate,38," 65,20,000 "," 1,33,002 "
Perumal A,IND,0,10th Pass,63," 48,90,237 ", 0 
Rajendran. V,BJP,0,5th Pass,49," 19,23,284 "," 2,82,200 "
Yoganathan. N,Gandhiya Makkal Iyakkam,0,Graduate,36," 90,38,000 "," 15,85,000 "
