Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Vasanthakumar. H    ,INC, 13 ,Post Graduate,66," 3,37,26,86,707 "," 1,21,99,04,171 "
Ashok. M,Eluchi Desam Party,0,Graduate,34," 1,87,543 ", 0 
Jeyabalan. K,DMDK,0,Graduate Professional,55," 3,47,32,336 "," 1,76,95,150 "
Karvannan. E,Naam Tamilar Katchi,0,12th Pass,45," 2,87,50,000 "," 1,87,00,000 "
Lingadurai. T,Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,32," 11,05,487 "," 1,61,000 "
Manikandan.v,BJP,0,12th Pass,33," 1,01,81,597 "," 11,10,000 "
Suresh Alias Kasinivendan . S,AIFB, 1 ,10th Pass,39," 61,99,059 "," 91,000 "
Thangeswaran.p,BSP,0,Graduate Professional,27," 1,01,604 ", 0 
Thiruppathi . S,Pattali Makkal Katchi,0,8th Pass,37," 9,61,637 ", 0 
Vijayakumar. M,AIADMK, 1 ,Graduate Professional,46," 2,12,31,450 "," 24,07,452 "
