Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sakkarapani R    ,DMK, 1 ,Graduate,55," 10,07,04,516 "," 3,88,70,751 "
Arulananthan P,Kongunadu Makkal Desia Katchi, 2 ,Graduate,42," 1,25,50,409 "," 24,00,100 "
Arumugam M,NCP,0,5th Pass,49," 64,900 "," 65,900 "
Kittusamy K,AIADMK,0,8th Pass,59," 3,57,94,105 "," 28,84,000 "
Mohamed Nainer M,IND,0,10th Pass,29," 1,35,000 ", 0 
Muthukumar K,IND,0,12th Pass,41," 21,56,206 ", 0 
Palanisamy S.k,BJP,0,8th Pass,49," 2,15,000 ", 0 
Sakthivel A,IND,0,12th Pass,31," 51,000 ", 0 
Santhanam K,CPI,0,Graduate,51," 25,27,776 "," 2,40,000 "
Selvakumar K,Naam Tamilar Katchi,0,5th Pass,36," 17,49,931 "," 60,000 "
Shanmugam K,Pattali Makkal Katchi,0,10th Pass,48," 60,12,000 "," 20,33,936 "
Velliyangiri S,IND,0,5th Pass,48," 12,19,000 "," 2,60,000 "
