Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Anbalagan.k.p    ,AIADMK,0,12th Pass,57," 2,40,45,124 "," 82,57,006 "
Anbalagan.e,IND,0,Graduate,41," 5,45,700 ", 0 
Chandrasekaran. G.,Youth And Students Party,0,8th Pass,36," 3,30,500 ", 0 
Kaverivarman. K.g,DMDK,0,Graduate Professional,50," 2,19,09,658 ", 0 
Krishnamoorthy. P.,IND,0,12th Pass,29," 41,000 ", 0 
Mannan.k,Pattali Makkal Katchi,0,5th Pass,58," 19,41,800 ", 0 
Murugan P.k,DMK,0,Graduate Professional,48," 55,52,932 "," 14,97,100 "
Perumal.p,BSP,0,Graduate,60," 11,79,203 ", 0 
Sivakumar.s,Tamilar Makkal Katchi,0,Graduate Professional,37," 33,32,900 ", 0 
Sivakumar.t,Kongunadu Makkal Desia Katchi,0,8th Pass,39," 34,18,787 "," 5,25,000 "
Venkatesan.s,Naam Tamilar Katchi,0,10th Pass,27," 13,000 ", 0 
