Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Abraham Purusothaman .p,Peoples Party of India(secular),0,10th Pass,61," 5,28,062 ", 0 
Alayamani .g,Pattali Makkal Katchi, 3 ,10th Pass,54," 5,168 ", 0 
Gunasekaran .t,BJP,0,Graduate,52," 4,56,000 ", 0 
Humayun Kabir .m.i,Naam Tamilar Katchi,0,Graduate,48," 98,81,659 ", 0 
Jagadeeshkumar .s,IND, 1 ,Graduate,40," 11,52,000 "," 2,80,000 "
Jayakumar .d,Tamil Maanila Congress (Moopanar), 1 ,5th Pass,51," 48,06,609 "," 13,82,673 "
Loganathan .t.r,INC,0,Post Graduate,63," 1,92,65,539 "," 15,72,388 "
Mohammed Farook.a,SDPI, 2 ,10th Pass,40," 9,94,000 ", 0 
Palanirajan .c,Tamilaga Makkal Munnetra Kazhagam,0,12th Pass,35," 10,50,000 "," 80,000 "
Palanisamy M.r.,BSP,0,8th Pass,59," 1,41,000 ", 0 
