Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
P.palaniappan    ,AIADMK,0,Post Graduate,54," 3,42,92,771 "," 44,95,870 "
Ashokan G,Kongunadu Makkal Desia Katchi, 1 ,12th Pass,40," 1,16,50,422 "," 2,35,000 "
Baskar,DMDK,0,8th Pass,49," 3,53,50,437 "," 8,00,000 "
Dhanapal,SP, 2 ,12th Pass,45," 40,81,505 "," 9,15,000 "
Gopi K,BSP,0,5th Pass,41," 5,40,000 ", 0 
Mooventhan,Naam Tamilar Katchi,0,Post Graduate,38," 32,02,697 "," 29,70,000 "
Muniraj,IND,0,10th Pass,29," 7,50,400 "," 56,000 "
Prabhu Rajasekar,DMK,0,Graduate Professional,32," 2,31,75,442 "," 25,60,026 "
Ragu,IND,0,10th Pass,48," 32,65,000 ", 0 
Rajalingam,IND,0,12th Pass,47," 27,61,000 "," 21,000 "
Rajkumar,IND,0,Post Graduate,30," 1,00,000 ", 0 
Saravanan,Youth And Students Party,0,Graduate,41," 3,40,500 ", 0 
Sathiyamoorthy,Pattali Makkal Katchi,0,12th Pass,42," 4,34,93,119 "," 1,02,32,000 "
Sundaramoorthy,Indiya Jananayaka Katchi,0,10th Pass,36," 25,90,600 "," 5,60,000 "
