Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
R.thamizhselvan    ,AIADMK, 3 ,Graduate,42," 1,32,43,052 "," 23,84,590 "
A.gunasekaran,NCP,0,Post Graduate,43," 3,02,500 ", 0 
Arunkumar,Naam Tamilar Katchi,0,Graduate Professional,31," 1,17,20,779 "," 55,32,357 "
C.pichaimuthu,SHS,0,10th Pass,41," 10,11,000 ", 0 
K.rajendran,DMDK,0,Others,33," 1,22,26,681 "," 6,00,750 "
M.kaliyaperumal,BJP,0,12th Pass,44," 7,93,000 "," 11,500 "
M.sathiyaseelan,Pattali Makkal Katchi, 1 ,Graduate Professional,37," 15,45,151 ", 0 
P.balachandran,Kongunadu Makkal Desia Katchi,0,5th Pass,47," 1,92,284 ", 0 
P.gunalan,Tamilaga Makkal Munnetra Kazhagam,0,Others,33," 40,95,000 ", 0 
P.sivakami,DMK,0,Post Graduate,60," 7,88,53,830 ", 0 
