Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
P Vetrivel    ,AIADMK, 3 ,Graduate,55," 3,98,75,940 "," 21,60,070 "
A Manivannan,IND,0,Graduate Professional,41," 1,75,000 ", 0 
A Sivarajalingam,IND,0,10th Pass,31," 1,75,000 ", 0 
A Soundara Rajan,CPI(M), 2 ,Graduate,69," 89,21,489 "," 20,00,000 "
B Kumaran,IND,0,Graduate Professional,41," 1,75,000 ", 0 
D Sundara Raman,IND,0,Others,40," 10,000 ", 0 
G Kothandan,IND,0,10th Pass,61," 87,60,784 ", 0 
G.r.mohammed Yousuff,IND,0,5th Pass,68," 1,01,500 ", 0 
J Praveen Kumar,IND,0,Graduate,33," 1,81,95,735 ", 0 
K Vasantha Kumari,LJP, 1 ,10th Pass,47," 1,12,60,000 ", 0 
K. Kamaraj,IND,0,8th Pass,39," 1,06,000 ", 0 
K.mallika,All India Women United Party,0,5th Pass,56," 30,54,000 ", 0 
L Susithra,IND,0,Post Graduate,40," 36,28,000 "," 7,49,592 "
M Mahendran,Makkalatchi Katchi,0,10th Pass,42," 2,58,000 ", 0 
M.venkatesh Perumal,Pattali Makkal Katchi, 1 ,8th Pass,47," 10,05,000 "," 3,00,000 "
N R Dhanapalan,DMK, 1 ,Post Graduate,64," 35,50,20,823 "," 70,94,870 "
N Raj,BSP,0,5th Pass,43," 4,30,500 ", 0 
N Viji,IND,0,12th Pass,42," 3,03,669 ", 0 
P Raja,IND,0,10th Pass,43," 62,35,000 "," 5,00,000 "
P Saravanan,IND,0,Graduate Professional,36," 4,78,964 ", 0 
Prakash R,BJP,0,10th Pass,52," 88,22,633 ", 0 
R Karthikeyan,IND,0,10th Pass,45," 2,75,000 ", 0 
R Manikandan,IND,0,Others,37," 10,000 ", 0 
R Saravana Perumal,IND,0,Graduate Professional,42," 1,22,500 ", 0 
S Jayaraj,IND,0,10th Pass,32," 10,000 ", 0 
S Mohan,IND,0,10th Pass,47," 10,000 ", 0 
S Narayanasami,IND,0,12th Pass,44," 10,000 ", 0 
S Narendra Kumar,IND,0,Graduate,25," 2,49,952 ", 0 
S Parthiban,IND,0,5th Pass,33," 10,000 ", 0 
S Suresh,Youth And Students Party,0,8th Pass,30," 35,000 ", 0 
S Vengadesan,SHS,0,5th Pass,54," 8,14,000 ", 0 
S Vetri Thamizhan,Naam Tamilar Katchi,0,Post Graduate,30," 2,78,694 ", 0 
V Subramani,IND,0,5th Pass,52," 10,000 ", 0 
