Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Venkatachalam.n.d    ,AIADMK,0,Graduate,52," 7,13,34,617 "," 48,83,410 "
Ashokkumar R.d,Ulzaipali Makkal Katchy,0,8th Pass,37," 4,20,000 ", 0 
Chandrasekaran.a,BJP,0,10th Pass,57," 3,37,71,171 "," 4,15,477 "
Kumaresan.p,Pattali Makkal Katchi, 2 ,8th Pass,41," 78,95,000 ", 0 
Kuppan (a) Kuppusamy.c,IND,0,Illiterate,57," 1,57,100 ", 0 
Loganathan,Naam Tamilar Katchi,0,Others,39," 70,55,204 "," 5,76,356 "
Mahendran A,IND,0,12th Pass,40," 27,22,445 ", 0 
Samy.k.p (a) Mohanasundaram.p,DMK, 2 ,10th Pass,55," 2,37,60,235 "," 4,00,216 "
Sekar.k,BSP,0,5th Pass,41," 42,500 ", 0 
Senthamizhan.m,Welfare Party Of India,0,Graduate,36," 4,38,500 ", 0 
Shanmugam.v.p,Tamil Maanila Congress (Moopanar),0,12th Pass,54," 1,47,63,464 "," 30,54,038 "
Subiramani.k,India Dravida Makkal Munnetra Katchi,0,10th Pass,52," 2,40,000 ", 0 
Tamilarasu,IND,0,Illiterate,40," 8,300 ", 0 
