Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Pollachi V Jayaraman    ,AIADMK,0,Doctorate,62," 20,71,38,933 "," 6,18,24,400 "
C Muthukumar,IND,0,10th Pass,42," 7,48,000 ", 0 
K Nithyanandhan,Kongunadu Makkal Desia Katchi,0,Graduate Professional,44," 12,00,10,784 "," 1,58,37,858 "
K Srinivasan,IND,0,8th Pass,33," 69,80,000 "," 27,00,000 "
K Tamilmani,IND,0,10th Pass,26," 16,257 ", 0 
K Umamaheswari,Naam Tamilar Katchi,0,12th Pass,45," 73,00,811 "," 5,68,107 "
N Selvakumar,IND,0,12th Pass,46," 9,98,560 "," 63,000 "
R Manickavel,IND,0,Post Graduate,45," 34,69,560 ", 0 
R Sivakumar,BJP,0,Graduate,44," 1,40,24,762 ", 0 
R Tamilmani,DMK,0,Others,50," 9,87,33,828 "," 9,13,470 "
S Muthukumar,DMDK,0,Graduate,46," 15,05,26,733 "," 2,03,23,240 "
S Vivek,Tamilaga Makkal Munnetra Kazhagam,0,Graduate,26," 78,006 "," 43,000 "
V Kalaivanan,BSP,0,Graduate Professional,32," 10,000 ", 0 
V S Kannappan,Pattali Makkal Katchi,0,10th Pass,63," 2,26,268 "," 50,800 "
