Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sekaran.k.v    ,DMK,0,10th Pass,58," 4,30,71,457 "," 47,70,350 "
Devadass M.,BSP,0,Graduate,47," 2,25,025 ", 0 
Durairaj.m,IND,0,Post Graduate,56," 3,50,000 ", 0 
Kandan P.,Naam Tamilar Katchi, 1 ,10th Pass,35," 3,77,000 "," 50,000 "
Ramachandiran M.,Gokula Makkal Katchi,0,8th Pass,32," 1,13,440 ", 0 
Selvan P.,CPI(M), 1 ,Post Graduate,43," 3,31,685 ", 0 
Suguna A.,SP,0,8th Pass,44," 2,39,921 ", 0 
Tamilarasi.d,BJP,0,Post Graduate,52," 1,46,39,405 "," 6,00,000 "
Velayutham.a,Pattali Makkal Katchi, 3 ,12th Pass,47," 1,25,83,575 "," 5,47,000 "
Vijayakumar B.,Republican Party of India,0,10th Pass,27," 1,13,000 "," 10,000 "
Vijayan D.,Valimai Valartchi Indians Party,0,Graduate,36," 6,70,600 "," 3,50,000 "
