Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Balaraman P    ,AIADMK,0,Post Graduate,55," 1,62,03,000 "," 13,99,147 "
Dilli Babu V,IND,0,Post Graduate,30," 4,14,000 ", 0 
Elayaraja R,IND,0,Post Graduate,34," 87,131 ", 0 
Ganesan K,BJP,0,10th Pass,50," 9,73,000 "," 3,26,101 "
Kotteeswaran K,Youth And Students Party,0,10th Pass,34," 10,85,000 ", 0 
Pandian A,Pattali Makkal Katchi,0,12th Pass,50," 10,68,000 ", 0 
Parimalam K,DMK,0,Graduate Professional,54," 11,10,39,720 "," 51,85,124 "
Raja S,BSP, 2 ,Doctorate,35," 26,000 ", 0 
Rukumangadan L,IND,0,8th Pass,36," 2,58,000 ", 0 
Sathish Raja M,IND,0,Graduate,30," 62,000 ", 0 
Senthil Kumar V,Viduthalai Chiruthaigal Katchi,0,10th Pass,40," 87,98,618 ", 0 
Srinivasan E,IND,0,Graduate,33," 21,93,500 ", 0 
Vinoth Babu S,Naam Tamilar Katchi,0,8th Pass,33," 3,50,000 ", 0 
