Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Elumalai T A    ,AIADMK,0,Graduate Professional,51," 2,49,34,578 "," 66,18,620 "
Amarnath A,BJP,0,8th Pass,41," 28,21,000 "," 1,80,000 "
Ananth C,IND,0,8th Pass,38," 6,19,500 ", 0 
Kandan D,Marumalarchi Dravida Munnetra Kazhagam,0,10th Pass,42," 87,09,435 ", 0 
Nagaraj J,IND,0,10th Pass,33," 3,95,500 ", 0 
Ponnarasu A,Naam Tamilar Katchi,0,Graduate,26," 21,019 ", 0 
Prathap R,SHS,0,8th Pass,33," 4,03,000 ", 0 
Ramamoorthy M,IND,0,10th Pass,43," 6,38,000 ", 0 
Sankaralingam J,IND,0,10th Pass,30," 14,014 ", 0 
Vijayabalaji V,BSP,0,Others,35," 15,000 ", 0 
