Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Manikandan.m    ,AIADMK, 3 ,Post Graduate,39," 4,46,38,453 "," 1,10,000 "
A.ramalingam,BSP,0,Graduate Professional,41," 5,67,500 ", 0 
J.thomas Jerone Kumar,Tamizhaga Vaazhvurimai Katchi,0,8th Pass,42," 20,000 ", 0 
Jahavarullah.m.h,Manithaneya Makkal Katchi, 2 ,Post Graduate,50," 3,38,88,977 ", 0 
Kannan.d,BJP, 1 ,Graduate,46," 2,82,32,339 ", 0 
M. Veeraragavan,Elutchi Tamilargal Munnettra Kazhagam,0,10th Pass,29," 6,00,000 ", 0 
M.sendurpandian,AIFB,0,5th Pass,46," 21,51,365 "," 8,50,400 "
Sanmugavel.s,IND, 1 ,10th Pass,45," 17,07,000 "," 9,18,282 "
Singi Jinna M.a,DMDK,0,Post Graduate,46," 2,03,21,657 "," 22,73,649 "
Siva Kumar.k,Naam Tamilar Katchi,0,Post Graduate,39," 2,51,39,667 "," 1,12,34,992 "
